GAME_DATE,MATCHUP,PTS,REB,AST,rolling_5_avg_pts
"Apr 01, 2025",GSW @ MEM,52,10,8,52.0
"Apr 03, 2025",GSW @ LAL,37,3,6,44.5
"Apr 04, 2025",GSW vs. DEN,36,2,5,41.67
"Apr 06, 2025",GSW vs. HOU,3,2,8,32.0
"Apr 08, 2025",GSW @ PHX,25,9,6,30.6
"Apr 09, 2025",GSW vs. SAS,30,8,3,26.2
"Apr 11, 2025",GSW @ POR,14,5,5,21.6
"Apr 13, 2025",GSW vs. LAC,36,3,6,21.6
"Dec 03, 2024",GSW @ DEN,24,7,11,25.8
"Dec 06, 2024",GSW vs. MIN,23,2,4,25.4
"Dec 08, 2024",GSW vs. MIN,30,4,8,25.4
"Dec 11, 2024",GSW @ HOU,19,3,5,26.4
"Dec 15, 2024",GSW vs. DAL,26,5,10,24.4
"Dec 19, 2024",GSW @ MEM,2,3,1,20.0
"Dec 21, 2024",GSW @ MIN,31,3,10,21.6
"Dec 23, 2024",GSW vs. IND,10,5,7,17.6
"Dec 25, 2024",GSW vs. LAL,38,1,6,21.4
"Dec 28, 2024",GSW vs. PHX,22,6,6,20.6
"Dec 30, 2024",GSW vs. CLE,11,2,3,22.4
"Feb 03, 2025",GSW vs. ORL,24,1,5,21.0
"Feb 05, 2025",GSW @ UTA,32,1,7,25.4
"Feb 06, 2025",GSW @ LAL,37,7,4,25.2
"Feb 08, 2025",GSW @ CHI,34,4,6,27.6
"Feb 10, 2025",GSW @ MIL,38,6,4,33.0
"Feb 12, 2025",GSW @ DAL,25,5,8,33.2
"Feb 13, 2025",GSW @ HOU,27,5,3,32.2
"Feb 21, 2025",GSW @ SAC,20,1,6,28.8
"Feb 23, 2025",GSW vs. DAL,30,4,7,28.0
"Feb 25, 2025",GSW vs. CHA,15,4,6,23.4
"Feb 27, 2025",GSW @ ORL,56,4,3,29.6
"Jan 02, 2025",GSW vs. PHI,30,6,10,30.2
"Jan 05, 2025",GSW vs. SAC,26,7,0,31.4
"Jan 07, 2025",GSW vs. MIA,31,7,0,31.6
"Jan 09, 2025",GSW @ DET,17,9,6,32.0
"Jan 13, 2025",GSW @ TOR,26,7,7,26.0
"Jan 15, 2025",GSW @ MIN,31,1,8,26.2
"Jan 18, 2025",GSW vs. WAS,26,5,6,26.2
"Jan 20, 2025",GSW vs. BOS,18,3,4,23.6
"Jan 22, 2025",GSW @ SAC,14,3,12,23.0
"Jan 23, 2025",GSW vs. CHI,21,4,7,22.0
"Jan 25, 2025",GSW vs. LAL,13,1,9,18.4
"Jan 29, 2025",GSW vs. OKC,21,1,4,17.4
"Jan 31, 2025",GSW vs. PHX,14,3,3,16.6
"Mar 01, 2025",GSW @ PHI,29,5,13,19.6
"Mar 03, 2025",GSW @ CHA,21,3,10,19.6
"Mar 04, 2025",GSW @ NYK,28,7,9,22.6
"Mar 06, 2025",GSW @ BKN,40,4,4,26.4
"Mar 08, 2025",GSW vs. DET,32,3,4,30.0
"Mar 10, 2025",GSW vs. POR,24,2,3,29.0
"Mar 13, 2025",GSW vs. SAC,11,2,5,27.0
"Mar 15, 2025",GSW vs. NYK,28,7,5,27.0
"Mar 17, 2025",GSW vs. DEN,20,4,7,23.0
"Mar 20, 2025",GSW vs. TOR,17,2,1,20.0
"Mar 28, 2025",GSW @ NOP,23,4,6,19.8
"Mar 30, 2025",GSW @ SAS,13,3,6,20.2
"Nov 04, 2024",GSW @ WAS,24,3,6,19.4
"Nov 06, 2024",GSW @ BOS,27,7,9,20.8
"Nov 08, 2024",GSW @ CLE,12,1,2,19.8
"Nov 10, 2024",GSW @ OKC,36,5,7,22.4
"Nov 12, 2024",GSW vs. DAL,37,6,9,27.2
"Nov 15, 2024",GSW vs. MEM,13,8,5,25.0
"Nov 18, 2024",GSW @ LAC,26,7,6,24.8
"Nov 20, 2024",GSW vs. ATL,23,4,8,27.0
"Nov 22, 2024",GSW @ NOP,19,7,7,23.6
"Nov 23, 2024",GSW @ SAS,14,7,5,19.0
"Nov 25, 2024",GSW vs. BKN,28,4,7,22.0
"Nov 30, 2024",GSW @ PHX,23,7,4,21.4
"Oct 23, 2024",GSW @ POR,17,9,10,20.2
"Oct 25, 2024",GSW @ UTA,20,3,4,20.4
"Oct 27, 2024",GSW vs. LAC,18,4,6,21.2
